country,title,salary_min,salary_max,employment_type,category,posting_date,location,is_estimated,company_name,exchange_rate,salary_min_pln,salary_max_pln,salary_avg_pln,salary_spread_pct,IT_seniority_level,day_of_week,has_salary
pl,IT Analyst payments,201600.0,241920.0,full_time,IT,2026-03-18 02:08:33+00:00,"Łódź, łódzkie",False,B2Bnetwork,1.0,201600.0,241920.0,221760.0,20.0,Not Specified,Wednesday,True
us,$250/60min Paid Market Research Study for IT Infrastructure Manager in the IT Sector,86224.11,86224.11,Not specified,IT,2026-03-14 10:38:45+00:00,"Phoenix, Maricopa County",True,Ivy Exec,3.6506,314769.735966,314769.735966,314769.735966,0.0,Not Specified,Saturday,True
pl,Cloud Solutions Architect @ Gcore,318000.0,336000.0,full_time,IT,2026-03-06 01:38:18+00:00,Polska,False,Gcore,1.0,318000.0,336000.0,327000.0,5.660377358490567,Not Specified,Friday,True
gb,IT Technical Lead,59033.58,59033.58,full_time,IT,2026-03-14 15:41:34+00:00,"London, UK",True,Multiverse,4.8924,288815.88679200003,288815.88679200003,288815.88679200003,0.0,Senior,Saturday,True
pl,"Senior Fullstack Engineer (Python, React, GCP) @ Holisticon Connect",1800.0,2040.0,full_time,IT,2026-03-18 02:49:19+00:00,Polska,False,Holisticon Connect,1.0,21600.0,24480.0,23040.0,13.333333333333334,Senior,Wednesday,True
gb,Apprentice Educator,22880.0,22880.0,Not specified,Teaching Jobs,2026-03-19 17:55:02+00:00,"Lowfield Heath, Crawley",False,Busy Bees,4.8924,111938.11200000001,111938.11200000001,111938.11200000001,0.0,,Thursday,True
pl,Administrator IT / Administratorka IT,,,Not specified,IT,2026-03-04 16:50:22+00:00,"Lublin, lubelskie",False,ZETO Lublin Sp. z o.o.,1.0,,,,,Not Specified,Wednesday,False
us,OTR Class A Driver,82094.09,82094.09,full_time,Logistics & Warehouse Jobs,2026-03-12 21:33:58+00:00,"San Ysidro, San Diego County",True,Clean Harbors,3.6506,299692.684954,299692.684954,299692.684954,0.0,,Thursday,True
gb,Vehicle Technician,30000.0,30000.0,Not specified,Engineering Jobs,2026-04-01 21:06:21+00:00,"Chadwell Heath, Romford",False,Halfords,4.8924,146772.0,146772.0,146772.0,0.0,,Wednesday,True
gb,Project Finance Team Lead,43101.14,43101.14,Not specified,Accounting & Finance Jobs,2026-04-01 11:25:10+00:00,"Milton Regis, Sittingbourne",True,BAE Systems,4.8924,210868.01733600002,210868.01733600002,210868.01733600002,0.0,,Wednesday,True
us,Lead IT Systems Engineer - Public Sector,165755.73,165755.73,full_time,Engineering Jobs,2026-02-20 06:06:32+00:00,"Athens, Clarke County",True,Lumen,3.6506,605107.867938,605107.867938,605107.867938,0.0,,Friday,True
gb,Mobile Vehicle Technician - Esher,40170.0,44385.0,full_time,Engineering Jobs,2026-02-16 04:28:49+00:00,"Whiteley Village, Hersham",False,RAC,4.8924,196527.708,217149.174,206838.441,10.49290515309932,,Monday,True
